query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,NZ_AP026110.1,100.0,100.0,81,1,81,3076441,3076361
Feature2,NZ_AP026110.1,100.0,100.0,100,1,100,3076460,3076361
Feature3,NZ_AP026110.1,100.0,100.0,80,1,80,3076440,3076361
Feature4,NZ_AP026110.1,100.0,100.0,87,1,87,2485286,2485372
Feature5,NZ_AP026110.1,100.0,100.0,97,1,97,2485275,2485371
Feature6,NZ_AP026110.1,100.0,100.0,80,1,80,3076473,3076394
Feature12,NZ_AP026110.1,100.0,100.0,81,1,81,2512251,2512331
Feature13,NZ_AP026110.1,100.0,100.0,100,1,100,4506746,4506647
Feature16,NZ_AP026110.1,100.0,100.0,100,1,100,3077732,3077831
Feature19,NZ_AP026110.1,100.0,100.0,100,1,100,1204999,1204900
Feature19,NZ_AP026110.1,100.0,100.0,100,1,100,2493480,2493579
Feature19,NZ_AP026110.1,100.0,100.0,100,1,100,2748909,2749008
Feature23,NZ_AP026110.1,100.0,100.0,100,1,100,5248934,5249033
Feature27,NZ_AP026110.1,100.0,100.0,87,1,87,1499626,1499540
Feature31,NZ_AP026110.1,100.0,100.0,89,1,89,1747116,1747204
Feature32,NZ_AP026110.1,100.0,100.0,100,1,100,2512342,2512243
Feature35,NZ_AP026110.1,100.0,100.0,100,1,100,3077958,3078057
Feature36,NZ_AP026110.1,100.0,100.0,86,1,86,3076387,3076472
Feature37,NZ_AP026110.1,100.0,100.0,100,1,100,3076461,3076362
Feature40,NZ_AP026110.1,100.0,100.0,100,1,100,4506780,4506681
Feature42,NZ_AP026110.1,100.0,100.0,100,1,100,1783716,1783617
Feature44,NZ_AP026110.1,100.0,100.0,98,1,98,3076479,3076382
Feature45,NZ_AP026110.1,100.0,100.0,86,1,86,1499735,1499650
Feature47,NZ_AP026110.1,100.0,100.0,81,1,81,1499658,1499738
Feature48,NZ_AP026110.1,100.0,100.0,81,1,81,2485286,2485366
Feature52,NZ_AP026110.1,100.0,100.0,87,1,87,3076387,3076473
Feature60,NZ_AP026110.1,100.0,100.0,100,1,100,3077959,3078058
Feature61,NZ_AP026110.1,100.0,100.0,100,1,100,3077957,3078056
Feature63,NZ_AP026110.1,100.0,100.0,100,1,100,3390759,3390660
Feature68,NZ_AP026110.1,100.0,100.0,95,1,95,906213,906307
Feature75,NZ_AP026110.1,100.0,100.0,100,1,100,2783608,2783509
Feature77,NZ_AP026110.1,100.0,100.0,100,1,100,1204889,1204988
Feature77,NZ_AP026110.1,100.0,100.0,100,1,100,2493590,2493491
Feature77,NZ_AP026110.1,100.0,100.0,100,1,100,2749019,2748920
Feature80,NZ_AP026110.1,100.0,100.0,93,1,93,3076387,3076479
Feature85,NZ_AP026110.1,100.0,100.0,84,1,84,3076394,3076477
Feature88,NZ_AP026111.1,100.0,100.0,81,1,81,22289,22369
Feature89,NZ_AP026110.1,100.0,100.0,97,1,97,2750515,2750419
Feature90,NZ_AP026110.1,100.0,100.0,93,1,93,3783589,3783681
Feature94,NZ_AP026110.1,100.0,100.0,100,1,100,3390641,3390740
Feature98,NZ_AP026110.1,100.0,100.0,92,1,92,1665212,1665303
Feature99,NZ_AP026110.1,100.0,100.0,100,1,100,2783611,2783512
Feature101,NZ_AP026110.1,100.0,100.0,84,1,84,3076390,3076473
Feature103,NZ_AP026110.1,100.0,100.0,92,1,92,924734,924643
Feature104,NZ_AP026110.1,100.0,100.0,87,1,87,3076468,3076382
Feature107,NZ_AP026110.1,100.0,100.0,100,1,100,924756,924657
Feature107,NZ_AP026110.1,100.0,100.0,100,1,100,2160906,2161005
Feature108,NZ_AP026110.1,100.0,100.0,100,1,100,1188160,1188259
Feature109,NZ_AP026110.1,100.0,100.0,100,1,100,3077780,3077681
Feature110,NZ_AP026110.1,100.0,100.0,100,1,100,5248694,5248595
Feature112,NZ_AP026110.1,100.0,100.0,85,1,85,1204754,1204670
Feature112,NZ_AP026110.1,100.0,100.0,85,1,85,2493725,2493809
Feature112,NZ_AP026110.1,100.0,100.0,85,1,85,2749154,2749238
Feature115,NZ_AP026110.1,100.0,100.0,96,1,96,2126810,2126905
Feature117,NZ_AP026110.1,100.0,100.0,85,1,85,3076394,3076478
Feature119,NZ_AP026110.1,100.0,100.0,89,1,89,1499738,1499650
Feature120,NZ_AP026110.1,100.0,100.0,92,1,92,2126814,2126905
Feature122,NZ_AP026110.1,100.0,100.0,100,1,100,3390737,3390638
Feature124,NZ_AP026110.1,100.0,100.0,100,1,100,3078055,3077956
Feature129,NZ_AP026110.1,100.0,100.0,100,1,100,308194,308095
Feature130,NZ_AP026110.1,100.0,100.0,100,1,100,1721587,1721488
Feature133,NZ_AP026110.1,100.0,100.0,85,1,85,3076479,3076395
Feature134,NZ_AP026110.1,100.0,100.0,100,1,100,4342130,4342031
Feature135,NZ_AP026110.1,100.0,100.0,95,1,95,2126811,2126905
Feature137,NZ_AP026110.1,100.0,100.0,86,1,86,2750515,2750430
Feature138,NZ_AP026110.1,100.0,100.0,84,1,84,924656,924739
Feature138,NZ_AP026110.1,100.0,100.0,84,1,84,2161006,2160923
Feature140,NZ_AP026110.1,100.0,100.0,80,1,80,1204754,1204675
Feature140,NZ_AP026110.1,100.0,100.0,80,1,80,2493725,2493804
Feature140,NZ_AP026110.1,100.0,100.0,80,1,80,2749154,2749233
Feature143,NZ_AP026110.1,100.0,100.0,100,1,100,5248704,5248605
Feature145,NZ_AP026110.1,100.0,100.0,98,1,98,1190503,1190406
Feature146,NZ_AP026110.1,100.0,100.0,96,1,96,924656,924751
Feature146,NZ_AP026110.1,100.0,100.0,96,1,96,2161006,2160911
Feature147,NZ_AP026110.1,100.0,100.0,100,1,100,2744800,2744899
Feature148,NZ_AP026110.1,100.0,100.0,80,1,80,924739,924660
Feature148,NZ_AP026110.1,100.0,100.0,80,1,80,2160923,2161002
Feature149,NZ_AP026110.1,100.0,100.0,99,1,99,2525938,2525840
Feature151,NZ_AP026110.1,100.0,100.0,98,1,98,2750198,2750295
Feature153,NZ_AP026110.1,100.0,100.0,100,1,100,2744842,2744941
Feature155,NZ_AP026110.1,100.0,100.0,82,1,82,899798,899717
Feature157,NZ_AP026110.1,100.0,100.0,100,1,100,1204666,1204765
Feature157,NZ_AP026110.1,100.0,100.0,100,1,100,2493813,2493714
Feature157,NZ_AP026110.1,100.0,100.0,100,1,100,2749242,2749143
Feature160,NZ_AP026110.1,100.0,100.0,91,1,91,2126814,2126904
Feature165,NZ_AP026110.1,100.0,100.0,87,1,87,1208463,1208377
Feature165,NZ_AP026110.1,100.0,100.0,87,1,87,1751275,1751189
Feature166,NZ_AP026110.1,100.0,100.0,90,1,90,1204675,1204764
Feature166,NZ_AP026110.1,100.0,100.0,90,1,90,2493804,2493715
Feature166,NZ_AP026110.1,100.0,100.0,90,1,90,2749233,2749144
Feature167,NZ_AP026110.1,100.0,100.0,100,1,100,272538,272439
Feature168,NZ_AP026110.1,100.0,100.0,100,1,100,1204651,1204750
Feature168,NZ_AP026110.1,100.0,100.0,100,1,100,2493828,2493729
Feature168,NZ_AP026110.1,100.0,100.0,100,1,100,2749257,2749158
Feature169,NZ_AP026110.1,100.0,100.0,80,1,80,2935237,2935158
Feature174,NZ_AP026110.1,100.0,100.0,100,1,100,1204667,1204766
Feature174,NZ_AP026110.1,100.0,100.0,100,1,100,2493812,2493713
Feature174,NZ_AP026110.1,100.0,100.0,100,1,100,2749241,2749142
Feature176,NZ_AP026110.1,100.0,100.0,100,1,100,2783592,2783493
Feature178,NZ_AP026110.1,100.0,100.0,88,1,88,3076479,3076392
Feature179,NZ_AP026110.1,100.0,100.0,88,1,88,2782012,2782099
Feature181,NZ_AP026110.1,100.0,100.0,83,1,83,265394,265312
Feature182,NZ_AP026110.1,100.0,100.0,100,1,100,1783711,1783612
Feature184,NZ_AP026110.1,100.0,100.0,100,1,100,2490491,2490392
Feature186,NZ_AP026110.1,100.0,100.0,100,1,100,1210062,1209963
Feature186,NZ_AP026110.1,100.0,100.0,100,1,100,1752874,1752775
Feature188,NZ_AP026110.1,100.0,100.0,100,1,100,924676,924775
Feature188,NZ_AP026110.1,100.0,100.0,100,1,100,2160986,2160887
Feature191,NZ_AP026110.1,100.0,100.0,100,1,100,1204745,1204646
Feature191,NZ_AP026110.1,100.0,100.0,100,1,100,2493734,2493833
Feature191,NZ_AP026110.1,100.0,100.0,100,1,100,2749163,2749262
Feature196,NZ_AP026110.1,100.0,100.0,100,1,100,1180178,1180277
Feature198,NZ_AP026110.1,100.0,100.0,100,1,100,1677059,1676960
Feature199,NZ_AP026110.1,100.0,100.0,89,1,89,2783925,2783837
Feature203,NZ_AP026110.1,100.0,100.0,100,1,100,4514595,4514496
Feature204,NZ_AP026110.1,100.0,100.0,88,1,88,1499658,1499745
Feature205,NZ_AP026110.1,100.0,100.0,89,1,89,1175911,1175823
Feature206,NZ_AP026110.1,100.0,100.0,95,1,95,1175824,1175918
Feature209,NZ_AP026110.1,100.0,100.0,80,1,80,1666913,1666992
Feature212,NZ_AP026110.1,100.0,100.0,100,1,100,2783568,2783469
Feature214,NZ_AP026110.1,100.0,100.0,100,1,100,1499630,1499729
Feature215,NZ_AP026110.1,100.0,100.0,100,1,100,5005972,5005873
Feature216,NZ_AP026110.1,100.0,100.0,81,1,81,1499728,1499648
Feature219,NZ_AP026110.1,100.0,100.0,100,1,100,1206963,1207062
Feature219,NZ_AP026110.1,100.0,100.0,100,1,100,2746945,2746846
Feature222,NZ_AP026110.1,100.0,100.0,95,1,95,927629,927723
Feature223,NZ_AP026110.1,100.0,100.0,81,1,81,1698024,1697944
Feature224,NZ_AP026110.1,100.0,100.0,100,1,100,1695730,1695631
Feature225,NZ_AP026110.1,100.0,100.0,100,1,100,1695704,1695605
Feature226,NZ_AP026110.1,100.0,100.0,100,1,100,1755043,1754944
Feature226,NZ_AP026110.1,100.0,100.0,100,1,100,5008077,5007978
Feature228,NZ_AP026110.1,100.0,100.0,100,1,100,2783514,2783415
Feature231,NZ_AP026110.1,100.0,100.0,100,1,100,1205001,1204902
Feature231,NZ_AP026110.1,100.0,100.0,100,1,100,2493478,2493577
Feature231,NZ_AP026110.1,100.0,100.0,100,1,100,2748907,2749006
Feature235,NZ_AP026110.1,100.0,100.0,100,1,100,1212752,1212653
Feature235,NZ_AP026110.1,100.0,100.0,100,1,100,1212893,1212794
Feature235,NZ_AP026110.1,100.0,100.0,100,1,100,2484838,2484937
Feature235,NZ_AP026110.1,100.0,100.0,100,1,100,2484979,2485078
Feature235,NZ_AP026110.1,100.0,100.0,100,1,100,2485120,2485219
Feature239,NZ_AP026110.1,100.0,100.0,89,1,89,1183154,1183242
Feature241,NZ_AP026110.1,100.0,100.0,81,1,81,924656,924736
