267849_ONT_clinker vs 315176_ONT_clinker
----------------------------------------
Query              Target             Identity  Similarity
FGXLORGX_CDS_0002  DTEQPQRT_CDS_0013  0.55      0.65      
FGXLORGX_CDS_0007  DTEQPQRT_CDS_0020  0.93      0.93      
FGXLORGX_CDS_0008  DTEQPQRT_CDS_0021  0.97      0.97      
FGXLORGX_CDS_0009  DTEQPQRT_CDS_0022  0.99      1.00      
FGXLORGX_CDS_0010  DTEQPQRT_CDS_0024  0.38      0.43      
FGXLORGX_CDS_0013  DTEQPQRT_CDS_0029  0.96      0.97      
FGXLORGX_CDS_0015  DTEQPQRT_CDS_0035  0.66      0.67      
FGXLORGX_CDS_0016  DTEQPQRT_CDS_0037  0.47      0.47      
FGXLORGX_CDS_0017  DTEQPQRT_CDS_0038  0.57      0.58      
FGXLORGX_CDS_0018  DTEQPQRT_CDS_0041  0.33      0.34      
FGXLORGX_CDS_0019  DTEQPQRT_CDS_0043  0.37      0.37      
FGXLORGX_CDS_0019  DTEQPQRT_CDS_0044  0.44      0.45      
FGXLORGX_CDS_0020  DTEQPQRT_CDS_0046  0.67      0.70      
FGXLORGX_CDS_0021  DTEQPQRT_CDS_0048  0.48      0.51      
FGXLORGX_CDS_0023  DTEQPQRT_CDS_0051  0.62      0.66      
FGXLORGX_CDS_0025  DTEQPQRT_CDS_0055  0.74      0.74      
FGXLORGX_CDS_0026  DTEQPQRT_CDS_0056  0.62      0.67      
FGXLORGX_CDS_0027  DTEQPQRT_CDS_0057  1.00      1.00      
FGXLORGX_CDS_0028  DTEQPQRT_CDS_0058  0.98      1.00      
FGXLORGX_CDS_0029  DTEQPQRT_CDS_0060  0.30      0.31      
FGXLORGX_CDS_0030  DTEQPQRT_CDS_0060  0.53      0.54      
FGXLORGX_CDS_0031  DTEQPQRT_CDS_0061  0.96      0.97      
FGXLORGX_CDS_0032  DTEQPQRT_CDS_0062  0.83      0.85      
FGXLORGX_CDS_0033  DTEQPQRT_CDS_0064  0.33      0.33      
FGXLORGX_CDS_0033  DTEQPQRT_CDS_0066  0.44      0.44      
FGXLORGX_CDS_0034  DTEQPQRT_CDS_0067  0.82      0.84      
FGXLORGX_CDS_0035  DTEQPQRT_CDS_0068  0.97      0.97      
FGXLORGX_CDS_0036  DTEQPQRT_CDS_0069  0.70      0.74      
