query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,AP026095.1,100.0,100.0,81,1,81,1531894,1531974
Feature2,AP026095.1,100.0,100.0,100,1,100,1531875,1531974
Feature3,AP026095.1,100.0,100.0,80,1,80,1531895,1531974
Feature4,AP026095.1,100.0,100.0,87,1,87,3391480,3391566
Feature5,AP026095.1,100.0,100.0,97,1,97,3391469,3391565
Feature6,AP026095.1,100.0,100.0,80,1,80,1531862,1531941
Feature12,AP026095.1,100.0,100.0,81,1,81,2143494,2143414
Feature13,AP026095.1,100.0,100.0,100,1,100,4498965,4498866
Feature16,AP026095.1,100.0,100.0,100,1,100,1530603,1530504
Feature23,AP026095.1,100.0,100.0,100,1,100,5239800,5239899
Feature31,AP026095.1,100.0,100.0,89,1,89,2599914,2600002
Feature32,AP026095.1,100.0,100.0,100,1,100,2143403,2143502
Feature36,AP026095.1,100.0,100.0,86,1,86,1531948,1531863
Feature37,AP026095.1,100.0,100.0,100,1,100,1531874,1531973
Feature40,AP026095.1,100.0,100.0,100,1,100,4498999,4498900
Feature42,AP026095.1,100.0,100.0,100,1,100,2636513,2636414
Feature44,AP026095.1,100.0,100.0,98,1,98,1531856,1531953
Feature48,AP026095.1,100.0,100.0,81,1,81,3391480,3391560
Feature52,AP026095.1,100.0,100.0,87,1,87,1531948,1531862
Feature63,AP026095.1,100.0,100.0,100,1,100,1219112,1219211
Feature68,AP026095.1,100.0,100.0,95,1,95,3698456,3698362
Feature75,AP026095.1,100.0,100.0,100,1,100,1816241,1816340
Feature80,AP026095.1,100.0,100.0,93,1,93,1531948,1531856
Feature85,AP026095.1,100.0,100.0,84,1,84,1531941,1531858
Feature88,AP026096.1,100.0,100.0,81,1,81,23597,23677
Feature89,AP026095.1,100.0,100.0,97,1,97,1848020,1848116
Feature90,AP026095.1,100.0,100.0,93,1,93,831575,831483
Feature94,AP026095.1,100.0,100.0,100,1,100,1219230,1219131
Feature98,AP026095.1,100.0,100.0,92,1,92,2564616,2564707
Feature99,AP026095.1,100.0,100.0,100,1,100,1816238,1816337
Feature101,AP026095.1,100.0,100.0,84,1,84,1531945,1531862
Feature103,AP026095.1,100.0,100.0,92,1,92,3679939,3680030
Feature104,AP026095.1,100.0,100.0,87,1,87,1531867,1531953
Feature105,AP026095.1,100.0,100.0,92,1,92,1834442,1834351
Feature106,AP026095.1,100.0,100.0,90,1,90,1521658,1521569
Feature107,AP026095.1,100.0,100.0,100,1,100,3074148,3074247
Feature107,AP026095.1,100.0,100.0,100,1,100,3679917,3680016
Feature108,AP026095.1,100.0,100.0,100,1,100,3416513,3416414
Feature109,AP026095.1,100.0,100.0,100,1,100,1530555,1530654
Feature110,AP026095.1,100.0,100.0,100,1,100,5239560,5239461
Feature111,AP026095.1,100.0,100.0,92,1,92,4999569,4999660
Feature115,AP026095.1,100.0,100.0,96,1,96,3038739,3038834
Feature117,AP026095.1,100.0,100.0,85,1,85,1531941,1531857
Feature120,AP026095.1,100.0,100.0,92,1,92,3038743,3038834
Feature120,AP026095.1,100.0,100.0,92,1,92,3237235,3237144
Feature122,AP026095.1,100.0,100.0,100,1,100,1219134,1219233
Feature129,AP026095.1,100.0,100.0,100,1,100,308056,307957
Feature133,AP026095.1,100.0,100.0,85,1,85,1531856,1531940
Feature134,AP026095.1,100.0,100.0,100,1,100,4334007,4333908
Feature135,AP026095.1,100.0,100.0,95,1,95,3038740,3038834
Feature137,AP026095.1,100.0,100.0,86,1,86,1848020,1848105
Feature138,AP026095.1,100.0,100.0,84,1,84,3074248,3074165
Feature138,AP026095.1,100.0,100.0,84,1,84,3680017,3679934
Feature143,AP026095.1,100.0,100.0,100,1,100,5239570,5239471
Feature145,AP026095.1,100.0,100.0,98,1,98,3414170,3414267
Feature146,AP026095.1,100.0,100.0,96,1,96,3074248,3074153
Feature146,AP026095.1,100.0,100.0,96,1,96,3680017,3679922
Feature147,AP026095.1,100.0,100.0,100,1,100,1853737,1853638
Feature147,AP026095.1,100.0,100.0,100,1,100,2919158,2919257
Feature148,AP026095.1,100.0,100.0,80,1,80,3074165,3074244
Feature148,AP026095.1,100.0,100.0,80,1,80,3679934,3680013
Feature149,AP026095.1,100.0,100.0,99,1,99,2129807,2129905
Feature153,AP026095.1,100.0,100.0,100,1,100,1853695,1853596
Feature153,AP026095.1,100.0,100.0,100,1,100,2919200,2919299
Feature155,AP026095.1,100.0,100.0,82,1,82,3704871,3704952
Feature160,AP026095.1,100.0,100.0,91,1,91,3038743,3038833
Feature160,AP026095.1,100.0,100.0,91,1,91,3237235,3237145
Feature163,AP026095.1,100.0,100.0,93,1,93,2057144,2057236
Feature165,AP026095.1,100.0,100.0,87,1,87,1853092,1853006
Feature165,AP026095.1,100.0,100.0,87,1,87,2079461,2079375
Feature165,AP026095.1,100.0,100.0,87,1,87,2604072,2603986
Feature167,AP026095.1,100.0,100.0,100,1,100,272456,272357
Feature172,AP026095.1,100.0,100.0,81,1,81,4999658,4999578
Feature176,AP026095.1,100.0,100.0,100,1,100,1816257,1816356
Feature178,AP026095.1,100.0,100.0,88,1,88,1531856,1531943
Feature179,AP026095.1,100.0,100.0,88,1,88,1817837,1817750
Feature179,AP026095.1,100.0,100.0,88,1,88,2036178,2036091
Feature181,AP026095.1,100.0,100.0,83,1,83,265312,265230
Feature182,AP026095.1,100.0,100.0,100,1,100,2636508,2636409
Feature184,AP026095.1,100.0,100.0,100,1,100,3396686,3396587
Feature186,AP026095.1,100.0,100.0,100,1,100,2081060,2080961
Feature186,AP026095.1,100.0,100.0,100,1,100,2605671,2605572
Feature188,AP026095.1,100.0,100.0,100,1,100,3074228,3074129
