GCA_025995195.1_ASM2599519v1_genomic.fna,F690
GCA_025995255.1_ASM2599525v1_genomic.fna,F765
GCA_025995315.1_ASM2599531v1_genomic.fna,H52_982342
GCA_025995355.1_ASM2599535v1_genomic.fna,8_140198
GCA_025995415.1_ASM2599541v1_genomic.fna,26_141088
GCA_025995475.1_ASM2599547v1_genomic.fna,27_141091
GCA_025995535.1_ASM2599553v1_genomic.fna,53_142304
GCA_025995615.1_ASM2599561v1_genomic.fna,57_142493
GCA_025995675.1_ASM2599567v1_genomic.fna,61_150228
GCA_025995735.1_ASM2599573v1_genomic.fna,93_161312
GCA_025995895.1_ASM2599589v1_genomic.fna,CEC96047
GCA_025996075.1_ASM2599607v1_genomic.fna,CEC01311
GCA_025996315.1_ASM2599631v1_genomic.fna,CEC13091
GCA_025996495.1_ASM2599649v1_genomic.fna,CEC08123
GCA_025996555.1_ASM2599655v1_genomic.fna,CEC03102
GCA_025996615.1_ASM2599661v1_genomic.fna,CEC01302
GCA_025996675.1_ASM2599667v1_genomic.fna,CEC13002
GCA_025996735.1_ASM2599673v1_genomic.fna,CEC13004
